,% Non-Hispanic White,% Black,% Hispanic,% East Asian,% South Asian (* if grouped with EA),% Middle Eastern (* if grouped with white),% Native American,% Mixed Race,Year,Notes,Source
Arizona,,,,,,,,,,,
Barnard College.,,,,,,,,,,,
Brown University,,,,,,,,,,,
Bryn Mawr College,,,,,,,,,,,
California Institute of Technology (Cal Tech),,,,,,,,,,,
California Polytechnic State University (Cal Poly SLO),,,,,,,,,,,
Cedar Crest College,,,,,,,,,,,
Christopher Newport University,,,,,,,,,,,
CMU,,,,,,,,,,,
Columbia University,,,,,,,,,,,
Florida,,,,,,,,,,,
George Mason University,,,,,,,,,,,
George Washington University,,,,,,,,,,,
Georgia Tech,45%,5%,6%,27%,*,,<1%,3%,2014,Computer Science majors,http://b.gatech.edu/1kB849p
Harvard University,39%,3%,5%,40%,13%,*,,,,"Data collected on Computer Science majors by a student via the Harvard facebook, as no official data is released by the university. More on methodology in the source.",https://medium.com/@winniewu/race-and-gender-among-computer-science-concentrators-at-harvard-1c1943a20457#.c25bictks
Harvey Mudd College,,,,,,,,,,,
Howard University,,,,,,,,,,,
Indiana,,,,,,,,,,,
Maryland (UMD),,,,,,,,,,,
McGill,,,,,,,,,,,
Michigan,,,,,,,,,,,
Mills College,,,,,,,,,,,
Minnesota,,,,,,,,,,,
MIT,,,,,,,,,,,
New York University (NYU),,,,,,,,,,,
North Carolina State University (NCSU),,,,,,,,,,,
Northeastern University,,,,,,,,,,,
Northwestern University,,,,,,,,,,,
Ohio State University,69%,3%,3%,5%,*,,,3%,2014,CS Majors,
Oregon,,,,,,,,,,,
Oregon State University,,,,,,,,,,,
Portland State,,,,,,,,,,,
Purdue University,,,,,,,,,,,
Rensselaer Polytechnic Institute,,,,,,,,,,,
Rochester Institute of Technology (RIT),74.80%,5.60%,7.80%,,,,0.20%,3.40%,2015,,https://www.rit.edu/fa/irps/content/enrollment-raceethnicity
Rose Hulman Institute of Technology (RHIT),,,,,,,,,,,
Seattle University,,,,,,,,,,,
Simmons College,,,,,,,,,,,
Smith College,,,,,,,,,,,
Southern Methodist University,,,,,,,,,,,
Southern Oregon University,,,,,,,,,,,
Spelman College,,,,,,,,,,,
Stanford University,38%,6.10%,9.50%,36.20%,10.20%,*,,,2015,"Data collected on Computer Science majors by a student via social media, as no official data is released by the university. More on methodology in the source.",https://medium.com/@jcueto/race-and-gender-among-computer-science-majors-at-stanford-3824c4062e3a#.qkkp8w70e
State University of New York (SUNY),50%,4%,4%,9%,*,,<1%,<%1,2012,Computational and Mathematical grads for all SUNY schools,https://www.suny.edu/impact/report-card/dc/SUNY_2012ReportCard_DiversityCounts.pdf
Stevens Institute of Technology,,,,,,,,,,,
Stony Brook University,,,,,,,,,,,
Syracuse,,,,,,,,,,,
Tarleton State University,,,,,,,,,,,
Texas A&M University,,,,,,,,,,,
Tougaloo College,,,,,,,,,,,
Tuskegee University,,,,,,,,,,,
UBC,,,,,,,,,,,
UC - Berkeley,,,,,,,,,,,
UC - Irvine,,,,,,,,,,,
UC - Los Angeles (UCLA),,,,,,,,,,,
UC - San Diego (UCSD),,,,,,,,,,,
University of Chicago,,,,,,,,,,,
University of Houston,,,,,,,,,,,
University of Illinois at Urbana-Champaign (UIUC),,,,,,,,,,,
University of Illinois at Chicago,,,,,,,,,,,
University of Maryland Baltimore County (UMBC),,,,,,,,,,,
University of North Texas,,,,,,,,,,,
University of Pennsylvania,,,,,,,,,,,
University of Portland,,,,,,,,,,,
University of Victoria,,,,,,,,,,,
University of Washington,,,,,,,,,,,
USC,,,,,,,,,,,
UT - Austin,,,,,,,,,,,
UT - Dallas,,,,,,,,,,,
UVA,,,,,,,,,,,
Virginia Tech,,,,,,,,,,,
Washington State University,,,,,,,,,,,
Waterloo,,,,,,,,,,,
Wellesley College,,,,,,,,,,,
Western Washington University,,,,,,,,,,,
Wichita State,,,,,,,,,,,
Wisconsin,,,,,,,,,,,
Xavier University of Louisiana,,,,,,,,,,,
